##FastQC	0.11.6
>>Basic Statistics	pass
#Measure	Value
Filename	Y25_2.fq.gz
File type	Conventional base calls
1113	90-94	-1.3241095496489663
1113	95-99	-1.9222925448148445
1113	100-104	-1.4787577796119962
1113	105-109	-1.6969958091324884
1113	110-114	-1.6904526136843714
1113	115-119	-1.632905234475487
1113	120-124	-1.558519190603544
1113	125-129	-1.199522074723948
1113	130-134	-1.608754683176027
1113	135-139	-1.71486995291081
1113	140-144	-2.152293150958389
1113	145-149	-2.1470076735932544
1113	150	-1.803268651695742
1114	1	-0.22655057348872987
1114	2	0.0016984407214586383
1114	3	-0.15962189981564734
1114	4	-0.10781348199857632
1114	5	-0.18337421500122275
1114	6	-0.2797802925701731
1114	7	-0.19757522964042806
1114	8	-0.12750923321908658
1114	9	-0.08844801249005485
1114	10-14	-0.04269067004128857
1114	15-19	-0.022759944410857713
1114	20-24	0.05414429028964918
1114	25-29	-9.464888843311314E-4
1114	30-34	-0.005708757637606254
1114	35-39	0.07796492469923777
1114	40-44	0.027523787013620904
1114	45-49	0.10474229242384325
1114	50-54	0.1708376820736035
1114	55-59	0.07319638170389453
1114	60-64	0.07459852481641605
1114	65-69	0.10021030237752626
1114	70-74	0.06406526837297832
1114	75-79	0.28958529967849955
1114	80-84	0.26539642509326455
1114	85-89	0.27373604549151764
1114	90-94	0.2938508005029732
1114	95-99	0.4194450005436323
1114	100-104	0.562935447525085
1114	105-109	0.8416828525934292
1114	110-114	0.8343315861335796
1114	115-119	0.7939206750559578
1114	120-124	0.9589088070106548
1114	125-129	0.914947669214655
1114	130-134	1.2733633976347285
1114	135-139	0.9854397912608945
1114	140-144	1.0070171332832771
1114	145-149	0.9408673121107753
1114	150	1.1972501766805372
1115	1	-0.8159265481944864
1115	2	-0.07081204713360023
1115	3	-0.3379702862910321
1115	4	-0.18459277486982018
1115	5	-0.356451193617211
1115	6	-0.3988421661950383
1115	7	-0.3950816940263522
1115	8	-0.23330087016235979
1115	9	-0.20501825498463688
1115	10-14	-0.2097465952828017
1115	15-19	-0.15684467602309127
1115	20-24	-0.12201634418808283
1115	25-29	-0.12245158804420697
1115	30-34	-0.22704605497673214
1115	35-39	-0.1927067263599369
1115	40-44	-0.22679886251084724
1115	45-49	-0.3503306139097191
1115	50-54	-0.20167919280042668
1115	55-59	-0.40405069733938603
1115	60-64	-0.4134401766268212
1115	65-69	-0.23919573423551554
1115	70-74	-0.2019653615121797
1115	75-79	-0.19696792412241848
1115	80-84	-0.23944640391191996
1115	85-89	-0.2587961035323332
1115	90-94	-0.16574444754434126
1115	95-99	-0.213327096368765
1115	100-104	-0.19552941857422468
1115	105-109	-0.09399224044231147
1115	110-114	-0.061673164633695876
1115	115-119	-0.12619991174993572
1115	120-124	-0.2597814468792592
1115	125-129	-0.2027162995374212
1115	130-134	-0.09367192461136042
1115	135-139	0.022461899796791585
1115	140-144	-0.14335906577557722
1115	145-149	0.07649481846656059
1115	150	-0.2060561889470236
1116	1	-0.3398194449730667
1116	2	0.010353723410958082
1116	3	-0.2083664045322564
1116	4	-0.11786667293625896
1116	5	-0.13549888170872038
1116	6	-0.15445481646435866
1116	7	-0.17754364840280346
1116	8	-0.20729761383688583
1116	9	-0.150701560936362
1116	10-14	-0.015972872297801644
1116	15-19	-0.007086050557845169
1116	20-24	0.11053300279362333
1116	25-29	0.056077012795284986
1116	30-34	0.05497737369766753
1116	35-39	0.013345379827825354
1116	40-44	-0.06606021259414518
1116	45-49	-0.10841133582757578
1116	50-54	-0.03692721995388837
1116	55-59	-0.1688018211089215
1116	60-64	-0.007241369935528041
1116	65-69	0.0021783682966614037
1116	70-74	-0.10581383132779365
1116	75-79	-0.04432475438144223
1116	80-84	-0.028023733891394897
1116	85-89	-0.007427476350628126
1116	90-94	0.17213030754665937
1116	95-99	-0.07883511402359034
1116	100-104	-0.09500819373506886
1116	105-109	-0.13005140807177185
1116	110-114	0.1511041211281423
1116	115-119	0.08249653958537095
1116	120-124	3.310800384781487E-4
1116	125-129	0.13891495914407415
1116	130-134	0.017592752258313027
1116	135-139	0.16647511291276373
1116	140-144	0.3465798766706705
1116	145-149	0.4150055065863576
1116	150	0.4510281949141053
1117	1	-0.23088649601045574
1117	2	-0.10314554156928324
1117	3	-0.3808621117803952
1117	4	-0.3600973271281376
1117	5	-0.24161355873608414
1117	6	-0.34422889024651226
1117	7	-0.22113536551161417
1117	8	-0.10251339545292382
1117	9	-0.2532932083250685
1117	10-14	-0.13841334533396576
1117	15-19	-0.08239784307048126
1117	20-24	-0.0853383286934033
1117	25-29	-0.147302462429046
1117	30-34	-0.12613596253937942
1117	35-39	-0.003804006484472211
1117	40-44	-0.09952688930349751
1117	45-49	0.0032561246941469335
1117	50-54	-0.0366754704443224
1117	55-59	-0.12046387009456083
1117	60-64	-0.01957663604742521
1117	65-69	-0.03442391407781287
1117	70-74	-0.00533172730926168
1117	75-79	0.16105642117778274
1117	80-84	0.2567259596816953
1117	85-89	0.26556106473628205
1117	90-94	0.3463717583890116
1117	95-99	0.4058531582374485
1117	100-104	0.5521853036341966
1117	105-109	0.6633120589965529
1117	110-114	0.7241695688024024
1117	115-119	0.9647408586945403
1117	120-124	1.1312354856620992
1117	125-129	1.117636868396069
1117	130-134	1.1097177102179394
1117	135-139	1.1086284207492945
1117	140-144	1.4278624446561814
1117	145-149	1.353309106252901
1117	150	1.1472311426205053
1118	1	-0.29220360191988703
1118	2	-0.20387072595394073
1118	3	-0.573488907874264
1118	4	-0.5526527356309714
1118	5	-0.5739473053669357
1118	6	-0.6808683363198114
1118	7	-0.514683349288596
1118	8	-0.4476387369576429
1118	9	-0.4344837459285671
1118	10-14	-0.4605201229947369
1118	15-19	-0.40135354912884935
1118	20-24	-0.535664460872411
1118	25-29	-0.5967622755200708
1118	30-34	-0.83573140801834
1118	35-39	-0.8718884016679098
1118	40-44	-0.8677062986158504
1118	45-49	-0.9068412279394096
1118	50-54	-1.0936515951799919
1118	55-59	-1.1229904337379466
1118	60-64	-0.8286196942121791
1118	65-69	-1.1363999456073017
1118	70-74	-1.1852478121210197
1118	75-79	-1.1665704395735332
1118	80-84	-1.1230044752106352
1118	85-89	-1.273354367650164
1118	90-94	-1.0105485497853053
1118	95-99	-1.2547266370788392
1118	100-104	-1.7415438814396396
1118	105-109	-1.8877571641102548
1118	110-114	-1.6372958565820426
1118	115-119	-1.5616942524979933
1118	120-124	-1.3435506234039352
1118	125-129	-1.5080565662128187
1118	130-134	-1.4896836388115702
1118	135-139	-1.6479866714487805
1118	140-144	-1.627250838728397
1118	145-149	-1.5261976339228802
1118	150	-1.6118747012950045
1119	1	-0.34087246055006304
1119	2	-0.09847694121156536
1119	3	-1.159961733839161
1119	4	-0.3018897770373883
1119	5	-0.29783964765407944
1119	6	-0.4294864136901708
1119	7	-0.14442651148747387
1119	8	-0.1922768147636802
1119	9	-0.08630964017209664
1119	10-14	-0.0894956322707614
1119	15-19	-0.07924940297859706
1119	20-24	-2.0412151870630169E-4
1119	25-29	-0.10839644581369612
1119	30-34	-0.13803792630233858
1119	35-39	-0.10229580637666658
1119	40-44	-0.2037815666159517
1119	45-49	-0.19108218390472587
1119	50-54	-0.17310015957710334
1119	55-59	-0.2348224569936761
1119	60-64	-0.18041910694185503
1119	65-69	-0.1830964500125063
1119	70-74	-0.15803821327141776
1119	75-79	-0.08373901428917918
1119	80-84	-0.02751476859068447
1119	85-89	-0.025119426810334744
1119	90-94	0.07953052454692511
1119	95-99	0.08512092863994525
1119	100-104	0.24877724495682685
1119	105-109	0.21273777675553873
1119	110-114	0.1814061549659911
1119	115-119	0.4063732208550235
1119	120-124	0.5931918874199873
1119	125-129	0.47682046239288667
1119	130-134	0.5200042259165407
1119	135-139	0.44275459157491426
1119	140-144	0.7045343294810138
1119	145-149	0.682453761687519
1119	150	0.887522727839972
1120	1	-0.4606776794318215
1120	2	-0.32177459387190765
1120	3	-0.7102963980641874
1120	4	-0.5071312668683277
1120	5	-0.3867749386508592
1120	6	-0.595721918817425
1120	7	-0.5501260769796517
1120	8	-0.2684919123085763
1120	9	-0.19578266119535925
1120	10-14	-0.2572150686088648
1120	15-19	-0.2996670719441994
1120	20-24	-0.26610583977490876
1120	25-29	-0.36977041790427734
1120	30-34	-0.33954687638010483
1120	35-39	-0.48204248349381373
1120	40-44	-0.42753725651088104
1120	45-49	-0.5280845010488804
1120	50-54	-0.557103848127241
1120	55-59	-0.7120514439073489
1120	60-64	-0.5128191389726169
1120	65-69	-0.5583840368612698
1120	70-74	-0.6120075420793185
1120	75-79	-0.5285705734028383
1120	80-84	-0.3324131030327564
1120	85-89	-0.3858007501577916
1120	90-94	-0.31211852159164266
1120	95-99	-0.20765496621969248
1120	100-104	-0.3314545952766821
1120	105-109	-0.4946240993020865
1120	110-114	-0.2531414015317779
1120	115-119	-0.18979169442154387
1120	120-124	0.07738431762608755
1120	125-129	-0.10474169242664289
1120	130-134	-0.20319125455540998
1120	135-139	-0.07908158980579216
1120	140-144	0.03630873803239609
1120	145-149	-0.0546341650307518
1120	150	0.12152930466356793
1121	1	-1.4207545548233433
1121	2	-0.4800700574781658
1121	3	-2.3474071716612173
1121	4	-0.9470289592641166
1121	5	-0.8648462706319648
1121	6	-1.5393764704935862
1121	7	-0.9923558925899485
1121	8	-0.9148733842822097
1121	9	-0.718403840636789
1121	10-14	-0.8852750820270998
